Series,Contestant,PPT,Prize,Subjective,Objective,Fastest,Live,Team,Highest,Lowest,Age,Gender,GregHarshnessRating,Seat,Height,Handedness,Children,Winner,Place,ChineseYear,FacialHair,HairColour,Books,Helped,RefusedHelp,Headwear,ComedyAward,Diet,OutfitColor,Language,SecondLanguage,Siblings,BirthOrder
17,Nick Mohammed,2.62,2.6,2.88,2.33,1.88,2.5,2.88,19,10,56,M,0.91,3,164,,3,N,5,Monkey,N,Black,2,,,N,Emmy Nom,Meat,Black,No,,NA,NA
18,Andy Zaltzman,3.2,3.8,3.55,2.97,3.64,2.5,4,21,9,49,M,0.91,1,178,,2,Y,1,Tiger,N,Red,2,,,Y,Nom,Meat,White,No,,1,Oldest
18,Jack Dee,3.14,3,3.35,3,2.73,2.8,1.71,20,10,38,M,0.91,4,169,,4,N,2,Ox,Beard,Grey,2,,,N,Brit Com Award,Meat,Blue,No,,2,Youngest
18,Emma Sidi,3.04,3.5,3.2,2.93,3.36,2,4,22,8,33,F,0.91,3,167,,0,N,3,Goat,N,Black,0,,,Y,N,Meat,Brown,Yes,French & Spanish,2,NA
18,Babatunde Aléshé,2.94,2.3,2.8,3.03,3.45,2.1,4,22,9,62,M,0.91,2,171,,2,N,4,Tiger,Beard,Black,0,,,N,Amused Moose,Meat,Black,No,,NA,
18,Rosie Jones,2.74,3.6,3.3,2.37,2.55,1.9,1.71,17,10,34,F,0.91,5,164,,0,N,5,Horse,N,Brown,5,,,N,N,Meat,Yellow,No,,1,Oldest
19,Fatiha El-Ghorri,2.82,2.3,2.61,3,4,2.5,3.75,20,8,44,F,0.95,1,165,,0,N,5,Rooster,N,NA,0,,,Y,N,Meat,Black,Yes,Darija (Moroccan dialect of Arabic),12,Middle
19,Jason Mantzoukas,3,3.7,3.43,2.63,2,2.9,3.25,23,6,52,M,0.95,2,178,,0,N,3,Rat,Beard,Grey,2,,,N,N,Cannot eat eggs,White,No,,1,Oldest
19,Mathew Baynton,3.38,3.7,3.74,3.07,3.6,3.3,3.75,23,13,44,M,0.95,3,178,,2,Y,1,Monkey,Beard,Brown,0,,,N,N,Vegan,Orange,No,,2,Youngest
19,Rosie Ramsey,2.98,2.6,2.74,3.19,3.1,2.9,3.75,21,8,38,F,0.95,4,164,,2,N,4,Tiger,N,Blonde,2,,,N,N,Meat,Blue,No,,2,Middle
19,Stevie Martin,3.08,2.8,3.22,2.96,2.9,3.4,3.25,23,6,36,F,0.95,5,173,,0,N,2,Dragon,N,Blonde,0,,,N,N,Vegetarian,Black,No,,1,Oldest
